Название категории;Родитель;Синоним;;;;
Accent;Hyundai;;;;;
All;accompanying;;;;;
All Hyundai;Hyundai;;;;;
All Kia;Kia;;;;;
Asia;Hyundai;;;;;
Asia Rocsta;Hyundai;;;;;
Asia Topic;Hyundai;;;;;
Asia Topik;Hyundai;Asia Topic;;;;
Atos;Hyundai;;;;;
Atoz;Hyundai;Atos;;;;
Avante;Hyundai;;;;;
Avella;Kia;;;;;
Azia;Hyundai;Asia;;;;
Besta;Kia;;;;;
Bongo;Kia;;;;;
Capital;Kia;;;;;
Carens;Kia;;;;;
Carnival;Kia;;;;;
Ceed;Kia;;;;;
Cerato;Kia;;;;;
Chevrolet;;;;;;
Clarus;Kia;;;;;
Click;Hyundai;Getz;;;;
Clr;Kia;Clarus;;;;
Cosmos;Kia;;;;;
County;Hyundai;;;;;
Coupe;Hyundai;;;;;
Daewoo;;;;;;
Damas;Daewoo;;;;;
Elantra;Hyundai;;;;;
Elnt;Hyundai;Elantra;;;;
Equus;Hyundai;;;;;
Espero;Daewoo;;;;;
Galloper;Hyundai;;;;;
Gets;Hyundai;Getz;;;;
Getz;Hyundai;;;;;
Glp;Hyundai;Galloper;;;;
Grace;Hyundai;;;;;
Grandeur;Hyundai;;;;;
H1;Hyundai;H-1;;;;
H-1;Hyundai;;;;;
H100;Hyundai;H-100;;;;
H-100;Hyundai;;;;;
Hd72;Hyundai;Hd-72;;;;
Hd-72;Hyundai;;;;;
Huyndai;;Hyundai;;;;
Hyundai;;;;;;
I 30;Hyundai;i30;;;;
i10;Hyundai;;;;;
i20;Hyundai;;;;;
i30;Hyundai;;;;;
Istana;Ssang Yong;;;;;
Ix 35;Hyundai;ix35;;;;
ix35;Hyundai;;;;;
ix55;Hyundai;;;;;
Joice;Kia;;;;;
K2700;Kia;;;;;
K3600;Kia;;;;;
Kalos;Daewoo;;;;;
Karanda;Ssang Yong;Korando;;;;
Kia;;;;;;
Korando;Ssang Yong;;;;;
Kyron;Ssang Yong;;;;;
Lacetti;Chevrolet;;;;;
Lacety;Chevrolet;Lacetti;;;;
Lanos;Daewoo;;;;;
Leg;Daewoo;Leganza;;;;
Leganza;Daewoo;;;;;
Libero;Hyundai;;;;;
Mag;Kia;Magentis;;;;
Magentis;Kia;;;;;
Marcia;Hyundai;;;;;
Marsia;Hyundai;Marcia;;;;Crace
Matiz;Daewoo;;;;;Crt
Matrix;Hyundai;;;;;D4cb
Musso;Ssang Yong;;;;;
Nexia;Daewoo;;;;;
nexia dohc;Daewoo;Nexia;;;;
Nexiaw ;Daewoo;Nexia;;;;
Nubira;Daewoo;;;;;
Opirus;Kia;;;;;Ef
Other;;;;;;
Picanto;Kia;;;;;Elantra, xd, accent, getz, cerato
Pony;Hyundai;;;;;Elantra,tucson,sportage new,matrix,cerato
Porter;Hyundai;;;;;
Pregio;Kia;;;;;Enterprise
Premix;Other;;;;;
Pride;Kia;;;;;Espero/nexia/lanos/nubira dohc
Retona;Kia;;;;;Espero/nexia/lanos/nubira/leg
Rexton;Ssang Yong;;;;;
Rio;Kia;;;;;
Rodius;Ssang Yong;;;;;
S Coupe;Hyundai;Scoupe;;;;
Santa e;Hyundai;Santa Fe;;;;
Santa Fe;Hyundai;;;;;
Santamo;Hyundai;;;;;
Santamo;Hyundai;;;;;
Scoupe;Hyundai;;;;;
Scupe;Hyundai;Scoupe;;;;
Sephia;Kia;;;;;
Shportage;Kia;Sportage;;;;
Shuma;Kia;;;;;
Snt;Kia;Sonata;;;;Nexiaw sportage
Solaris;Hyundai;;;;;Nf
Sonata;Hyundai;;;;;
Sonata-iii;Kia;Sonata;;;;
Sorento;Kia;;;;;
Soul;Kia;;;;;Power combi
Spc;Kia;Spectra;;;;
Spectra;Kia;;;;;
Sportage;Kia;;;;;
Ssang;;SsangYong;;;;
Ssang yong;;SsangYong;;;;
SsangYong;;;;;;Ss all dsl
Starex;Hyundai;;;;;Ss-korando, isuzu-trooper
Ter;Hyundai;Terracan;;;;Tci
Terracan;Hyundai;;;;;Tci 2,0
Tiburon;Hyundai;;;;;Townexiar
Trade;Kia;;;;;Toyota
Trajet;Hyundai;;;;;
Tuc;Hyundai;Tucson;;;;
Tucson;Hyundai;;;;;
Tuscani;Hyundai;Tucson;;;;
Veracruz;Hyundai;;;;;
Verna;Hyundai;;;;;
Vrn;Hyundai;Verna;;;;
Ss-korando;Ssang Yong;Korando;;;;
Santa fe;Hyundai;Santa Fe;;;;
xd;Hyundai;Elantra;;;;
H-I;Hyundai;H-1;;;;
accompanying;;;;;;
Sam sung;accompanying;;;;;
Philips;accompanying;;;;;
Premix;accompanying;;антифриз;;;
Bosch;accompanying;;;;;
Bosch 21;accompanying;;;;;
Lnt xd;Hyundai;Elantra;;;;
H4 60/55w;accompanying;;автолампа;;;
Zic;accompanying;;моторное масло;;;
РосДОТ-4;accompanying;;тормозная жидкость;;;
РОС-ДОТ-4;accompanying;РосДОТ-4;тормозная жидкость;;;
Topic;Hyundai;Asia Topic;;;;
Rocsta;Hyundai;Asia Rocsta;;;;
Asia Rocsta;Hyundai;;;;;
Santa Fe;Hyundai;SANTAFE;;;;
Sorento;Kia;SORENTO2;;;;
Н-100;Hyundai;H-100;;;;
WD-40;accompanying;;;;;
xg;Hyundai;;;;;
xg300;Hyundai;xg;;;;
SantaFe;Hyundai;Santa Fe;;;;
Sorento2;Kia;Sorento;;;;
Grand starex;Hyundai;Starex;;;;
